location,bhk,total_sqft,bath,price
DODDA NEKKUNDI,3,1829.0,3.0,125.0
DODDA NEKKUNDI,2,1100.0,2.0,41.16
DODDA NEKKUNDI,2,1100.0,2.0,46.75
DODDA NEKKUNDI,2,1315.0,2.0,50.0
DODDA NEKKUNDI,2,1135.0,2.0,58.0
DODDA NEKKUNDI,2,1100.0,2.0,41.18
DODDA NEKKUNDI,2,1370.0,2.0,60.0
DODDA NEKKUNDI,2,1200.0,2.0,71.0
DODDA NEKKUNDI,3,1585.0,2.0,79.0
DODDA NEKKUNDI,2,1005.0,2.0,45.0
DODDA NEKKUNDI,2,1264.0,2.0,52.0
DODDABALLAPUR,4,1690.0,3.0,80.0
DODDABALLAPUR,4,4200.0,4.0,325.0
DODDABALLAPUR,3,3876.0,3.0,300.0
DODDABALLAPUR,3,2776.0,4.0,195.0
DODDABALLAPUR,3,2440.0,3.0,142.0
DODDABALLAPUR,4,2400.0,3.0,200.0
DODDABALLAPUR,1,654.0,1.0,49.0
DODDABALLAPUR,4,3206.0,5.0,270.0
DODDAKALLASANDRA,2,1010.0,2.0,40.39
DODDAKALLASANDRA,3,1360.0,2.0,54.39
DODDAKALLASANDRA,3,1460.0,2.0,58.39
DODDAKALLASANDRA,3,1360.0,2.0,54.4
DODDAKALLASANDRA,3,1425.0,2.0,56.99
DODDAKALLASANDRA,2,1072.0,2.0,42.87
DODDAKALLASANDRA,2,1010.0,2.0,40.4
DODDAKALLASANDRA,2,1010.0,2.0,41.0
DODDATHOGURU,2,970.0,2.0,33.0
DODDATHOGURU,2,1050.0,2.0,32.0
DODDATHOGURU,2,1030.0,2.0,42.0
DODDATHOGURU,3,1549.0,3.0,65.0
DODDATHOGURU,1,550.0,1.0,17.0
DODDATHOGURU,2,1015.0,2.0,33.5
DODDATHOGURU,2,1104.0,2.0,39.0
DODDATHOGURU,2,915.0,2.0,32.0
DODDATHOGURU,1,750.0,1.0,25.5
DODDATHOGURU,3,1595.0,3.0,62.0
DODDATHOGURU,2,855.0,2.0,32.0
DODDATHOGURU,2,1105.0,2.0,50.0
DODDATHOGURU,2,925.0,2.0,30.0
DODDATHOGURU,2,1100.0,2.0,50.0
DODDATHOGURU,2,940.0,2.0,32.9
DODDATHOGURU,3,1382.0,3.0,65.0
DODDATHOGURU,2,1107.0,2.0,44.0
DODDATHOGURU,2,907.0,2.0,40.0
DODDATHOGURU,3,1783.0,3.0,85.0
DODSWORTH LAYOUT,4,30000.0,4.0,2100.0
DODSWORTH LAYOUT,2,1400.0,2.0,80.0
DODSWORTH LAYOUT,3,1717.0,3.0,99.0
DODSWORTH LAYOUT,3,1594.0,3.0,99.0
DODSWORTH LAYOUT,3,1893.0,3.0,115.0
DODSWORTH LAYOUT,2,1400.0,2.0,85.0
DODSWORTH LAYOUT,6,30400.0,4.0,1824.0
DOMLUR,3,1540.0,3.0,90.0
DOMLUR,3,1875.0,2.0,150.0
DOMLUR,3,1429.0,3.0,86.0
DOMLUR,1,640.0,1.0,55.0
DOMLUR,2,1050.0,2.0,85.0
DOMLUR,3,1800.0,3.0,150.0
DOMLUR,3,1720.0,3.0,135.0
DOMLUR,3,1950.0,3.0,165.0
DOMLUR,3,2180.0,3.0,285.0
DOMLUR,1,650.0,1.0,70.0
DOMLUR,1,780.0,1.0,70.0
DOMLUR,3,2180.0,3.0,285.0
DOMLUR,3,1740.0,3.0,120.0
DOMLUR,3,1695.0,3.0,125.0
DOMLUR,2,1246.0,2.0,95.0
DOMLUR,3,2100.0,3.0,145.0
DOMLUR,2,1276.0,2.0,80.0
DOMLUR,3,1850.0,3.0,180.0
DOMLUR,3,2955.0,3.0,235.0
DOMLUR,3,1650.0,3.0,180.0
DOMMASANDRA,2,805.0,2.0,22.14
DOMMASANDRA,3,1267.0,3.0,56.0
DOMMASANDRA,2,1200.0,2.0,50.0
DOMMASANDRA,4,2700.0,3.0,68.0
DOMMASANDRA,2,1153.0,2.0,43.5
DOMMASANDRA,2,1500.0,2.0,40.0
DOMMASANDRA,2,1090.0,2.0,43.5
DOMMASANDRA,2,850.0,2.0,25.4
DOMMASANDRA,2,674.0,1.0,19.9
DOMMASANDRA,2,999.0,2.0,32.9
ELECTRONIC CITY,3,1025.0,2.0,47.0
ELECTRONIC CITY,3,1500.0,2.0,64.5
ELECTRONIC CITY,2,1060.0,2.0,60.0
ELECTRONIC CITY,2,1152.0,2.0,64.5
ELECTRONIC CITY,2,770.0,1.0,36.0
ELECTRONIC CITY,2,1070.0,2.0,52.0
ELECTRONIC CITY,2,1025.0,2.0,46.0
ELECTRONIC CITY,1,589.0,1.0,27.0
ELECTRONIC CITY,2,910.0,2.0,40.0
ELECTRONIC CITY,2,1108.0,2.0,63.0
ELECTRONIC CITY,2,1128.0,2.0,65.0
ELECTRONIC CITY,3,1800.0,3.0,95.0
ELECTRONIC CITY,1,630.0,1.0,34.65
ELECTRONIC CITY,2,1128.0,2.0,63.0
ELECTRONIC CITY,3,1599.0,3.0,99.0
ELECTRONIC CITY,2,1070.0,2.0,55.0
ELECTRONIC CITY,2,940.0,2.0,41.0
ELECTRONIC CITY,2,1128.0,2.0,68.75
ELECTRONIC CITY,2,1342.0,2.0,73.3
ELECTRONIC CITY,3,1360.0,2.0,71.0
ELECTRONIC CITY,2,1265.0,2.0,56.93
ELECTRONIC CITY,3,1691.0,2.0,102.0
ELECTRONIC CITY,2,1128.0,2.0,65.49
ELECTRONIC CITY,2,1070.0,2.0,56.1
ELECTRONIC CITY,4,2000.0,4.0,120.0
ELECTRONIC CITY,2,890.0,2.0,45.0
ELECTRONIC CITY,2,1128.0,2.0,65.65
ELECTRONIC CITY,2,865.0,2.0,42.0
ELECTRONIC CITY,2,910.0,2.0,42.0
ELECTRONIC CITY,3,1360.0,2.0,75.0
ELECTRONIC CITY,2,770.0,1.0,40.0
ELECTRONIC CITY,2,1128.0,2.0,64.0
ELECTRONIC CITY,2,1070.0,2.0,54.0
ELECTRONIC CITY,3,1571.0,3.0,89.0
ELECTRONIC CITY,3,1111.0,3.0,50.0
ELECTRONIC CITY,2,870.0,2.0,39.5
ELECTRONIC CITY,3,1374.0,2.0,72.0
ELECTRONIC CITY,2,1128.0,2.0,65.35
ELECTRONIC CITY,2,755.0,1.0,34.0
ELECTRONIC CITY,3,1563.0,3.0,91.84
ELECTRONIC CITY,2,1025.0,2.0,54.5
ELECTRONIC CITY,3,1350.0,3.0,58.0
ELECTRONIC CITY,3,1700.0,3.0,75.0
ELECTRONIC CITY,2,1128.0,2.0,68.0
ELECTRONIC CITY,1,700.0,1.0,35.0
ELECTRONIC CITY,3,1360.0,2.0,70.5
ELECTRONIC CITY,3,1571.0,3.0,105.0
ELECTRONIC CITY,3,1600.0,3.0,104.0
ELECTRONIC CITY,3,1500.0,2.0,100.0
ELECTRONIC CITY,2,1152.0,2.0,65.0
ELECTRONIC CITY,2,1070.0,2.0,60.0
ELECTRONIC CITY,2,1128.0,2.0,65.5
ELECTRONIC CITY,2,1200.0,2.0,59.0
ELECTRONIC CITY,2,1152.0,2.0,65.75
ELECTRONIC CITY,2,1070.0,2.0,55.0
ELECTRONIC CITY,2,1060.0,2.0,58.0
ELECTRONIC CITY,2,1025.0,2.0,54.1
ELECTRONIC CITY,3,1500.0,2.0,78.0
ELECTRONIC CITY,2,1213.0,2.0,59.32
ELECTRONIC CITY,3,1575.0,3.0,90.0
ELECTRONIC CITY,1,435.0,1.0,19.5
ELECTRONIC CITY,3,1449.0,3.0,100.0
ELECTRONIC CITY,2,1125.0,2.0,58.0
ELECTRONIC CITY,3,1575.0,3.0,101.0
ELECTRONIC CITY,1,550.0,1.0,12.0
ELECTRONIC CITY,2,919.0,2.0,40.0
ELECTRONIC CITY,3,1500.0,2.0,78.25
ELECTRONIC CITY,2,1363.0,2.0,79.0
ELECTRONIC CITY,2,1108.0,2.0,67.15
ELECTRONIC CITY,2,1128.0,2.0,65.7
ELECTRONIC CITY,2,1060.0,2.0,51.0
ELECTRONIC CITY,3,1650.0,3.0,100.0
ELECTRONIC CITY,2,1025.0,2.0,49.0
ELECTRONIC CITY,3,1449.0,3.0,90.0
ELECTRONIC CITY,2,1070.0,2.0,58.0
ELECTRONIC CITY,2,1210.0,2.0,54.0
ELECTRONIC CITY,3,1500.0,2.0,75.0
ELECTRONIC CITY,4,2435.0,4.0,119.0
ELECTRONIC CITY,2,1073.0,2.0,60.0
ELECTRONIC CITY,3,1500.0,2.0,78.0
ELECTRONIC CITY,2,1070.0,2.0,47.0
ELECTRONIC CITY,2,1296.0,2.0,65.0
ELECTRONIC CITY,2,1140.0,2.0,70.93
ELECTRONIC CITY,4,2093.0,4.0,104.0
ELECTRONIC CITY,2,1025.0,2.0,53.9
ELECTRONIC CITY,2,940.0,2.0,54.0
ELECTRONIC CITY,1,435.0,1.0,21.0
ELECTRONIC CITY,3,1500.0,2.0,77.5
ELECTRONIC CITY,3,1631.0,3.0,80.0
ELECTRONIC CITY,2,1355.0,2.0,67.0
ELECTRONIC CITY,1,435.0,1.0,22.0
ELECTRONIC CITY,2,1039.0,2.0,50.0
ELECTRONIC CITY,2,770.0,1.0,39.9
ELECTRONIC CITY,2,1128.0,2.0,64.0
ELECTRONIC CITY,1,605.0,1.0,13.31
ELECTRONIC CITY,1,530.0,1.0,13.5
ELECTRONIC CITY,2,1070.0,2.0,53.0
ELECTRONIC CITY,3,1571.0,3.0,83.0
ELECTRONIC CITY,3,1350.0,3.0,66.0
ELECTRONIC CITY,3,1652.0,3.0,110.0
ELECTRONIC CITY,2,1128.0,2.0,65.58
ELECTRONIC CITY,2,1355.0,2.0,97.6
ELECTRONIC CITY,1,635.0,1.0,28.0
ELECTRONIC CITY,2,1128.0,2.0,65.4
ELECTRONIC CITY,2,1355.0,2.0,72.9
ELECTRONIC CITY,3,1609.0,3.0,115.0
ELECTRONIC CITY,2,770.0,1.0,35.0
ELECTRONIC CITY,2,865.0,2.0,40.0
ELECTRONIC CITY,2,1108.0,2.0,63.0
ELECTRONIC CITY,1,630.0,1.0,40.5
ELECTRONIC CITY,1,605.0,1.0,22.0
ELECTRONIC CITY,2,1070.0,2.0,48.0
ELECTRONIC CITY,3,1360.0,2.0,70.0
ELECTRONIC CITY,1,635.0,1.0,28.0
ELECTRONIC CITY,2,1128.0,2.0,65.45
ELECTRONIC CITY,2,890.0,2.0,40.0
ELECTRONIC CITY,1,630.0,1.0,33.7
ELECTRONIC CITY,3,1400.0,3.0,90.0
ELECTRONIC CITY,3,1287.0,3.0,55.0
ELECTRONIC CITY,2,1258.0,2.0,85.5
ELECTRONIC CITY,2,1386.0,2.0,85.0
ELECTRONIC CITY,1,550.0,1.0,27.0
ELECTRONIC CITY,2,1025.0,2.0,50.0
ELECTRONIC CITY,2,1342.0,2.0,72.0
ELECTRONIC CITY,3,1275.0,3.0,70.0
ELECTRONIC CITY,2,770.0,1.0,38.0
ELECTRONIC CITY,3,1644.0,3.0,92.59
ELECTRONIC CITY,2,1250.0,2.0,62.0
ELECTRONIC CITY,1,418.0,1.0,12.0
ELECTRONIC CITY,2,1128.0,2.0,64.8
ELECTRONIC CITY,2,1060.0,2.0,55.0
ELECTRONIC CITY,1,710.0,1.0,40.42
ELECTRONIC CITY,3,1275.0,3.0,63.43
ELECTRONIC CITY,3,1518.0,3.0,75.0
ELECTRONIC CITY,1,1090.0,2.0,31.48
ELECTRONIC CITY,2,1060.0,2.0,55.0
ELECTRONIC CITY,2,1353.0,2.0,75.0
ELECTRONIC CITY,2,1128.0,2.0,67.0
ELECTRONIC CITY,2,1070.0,2.0,57.0
ELECTRONIC CITY,3,1700.0,3.0,90.0
ELECTRONIC CITY,1,750.0,1.0,35.0
ELECTRONIC CITY,2,1210.0,2.0,55.0
ELECTRONIC CITY,2,1070.0,2.0,60.0
ELECTRONIC CITY,3,1615.0,3.0,97.0
ELECTRONIC CITY,2,1221.0,2.0,68.0
ELECTRONIC CITY,3,1500.0,3.0,73.0
ELECTRONIC CITY,2,995.0,2.0,48.0
ELECTRONIC CITY,2,1342.0,2.0,90.0
ELECTRONIC CITY,2,1128.0,2.0,63.5
ELECTRONIC CITY,1,589.0,1.0,29.0
ELECTRONIC CITY,3,1575.0,3.0,94.5
ELECTRONIC CITY,2,1025.0,2.0,54.0
ELECTRONIC CITY,3,1500.0,2.0,70.0
ELECTRONIC CITY,4,2093.0,4.0,134.0
ELECTRONIC CITY,2,1355.0,2.0,73.0
ELECTRONIC CITY,3,1360.0,2.0,64.99
ELECTRONIC CITY,2,1060.0,2.0,52.0
ELECTRONIC CITY PHASE II,2,1056.0,2.0,39.07
ELECTRONIC CITY PHASE II,2,1020.0,2.0,30.6
ELECTRONIC CITY PHASE II,2,1069.0,2.0,45.0
ELECTRONIC CITY PHASE II,1,630.0,1.0,28.35
ELECTRONIC CITY PHASE II,2,1000.0,2.0,25.0
ELECTRONIC CITY PHASE II,2,1090.0,2.0,28.34
ELECTRONIC CITY PHASE II,4,2225.0,4.0,98.88
ELECTRONIC CITY PHASE II,2,775.0,2.0,38.0
ELECTRONIC CITY PHASE II,2,1266.0,2.0,59.0
ELECTRONIC CITY PHASE II,2,1000.0,2.0,28.88
ELECTRONIC CITY PHASE II,2,972.0,2.0,44.0
ELECTRONIC CITY PHASE II,2,1031.0,2.0,55.0
ELECTRONIC CITY PHASE II,2,1003.0,2.0,40.6
ELECTRONIC CITY PHASE II,2,1031.0,2.0,56.35
ELECTRONIC CITY PHASE II,3,1395.0,2.0,62.78
ELECTRONIC CITY PHASE II,2,1160.0,2.0,33.5
ELECTRONIC CITY PHASE II,2,1065.0,2.0,30.75
ELECTRONIC CITY PHASE II,2,1219.0,2.0,61.25
ELECTRONIC CITY PHASE II,2,1000.0,2.0,28.88
ELECTRONIC CITY PHASE II,3,1790.0,3.0,100.0
ELECTRONIC CITY PHASE II,2,769.0,2.0,40.0
ELECTRONIC CITY PHASE II,2,900.0,2.0,32.5
ELECTRONIC CITY PHASE II,3,993.0,2.0,50.0
ELECTRONIC CITY PHASE II,3,1418.0,3.0,52.47
ELECTRONIC CITY PHASE II,2,1070.0,2.0,45.0
ELECTRONIC CITY PHASE II,2,1140.0,2.0,33.06
ELECTRONIC CITY PHASE II,2,1089.0,2.0,32.67
ELECTRONIC CITY PHASE II,2,1253.0,2.0,65.8
ELECTRONIC CITY PHASE II,2,1160.0,2.0,33.5
ELECTRONIC CITY PHASE II,3,975.0,2.0,45.0
ELECTRONIC CITY PHASE II,4,6000.0,4.0,260.0
ELECTRONIC CITY PHASE II,2,1116.0,2.0,37.0
ELECTRONIC CITY PHASE II,2,1125.0,2.0,29.25
ELECTRONIC CITY PHASE II,2,1000.0,2.0,28.88
ELECTRONIC CITY PHASE II,2,1000.0,2.0,28.88
ELECTRONIC CITY PHASE II,2,1165.0,2.0,30.29
ELECTRONIC CITY PHASE II,2,1031.0,2.0,53.0
ELECTRONIC CITY PHASE II,2,1065.0,2.0,30.88
ELECTRONIC CITY PHASE II,3,1549.0,3.0,80.0
ELECTRONIC CITY PHASE II,2,1065.0,2.0,56.13
ELECTRONIC CITY PHASE II,2,920.0,2.0,26.0
ELECTRONIC CITY PHASE II,2,1140.0,2.0,33.84
ELECTRONIC CITY PHASE II,2,1219.0,2.0,61.26
ELECTRONIC CITY PHASE II,3,1252.0,2.0,65.0
ELECTRONIC CITY PHASE II,2,1125.0,2.0,32.49
ELECTRONIC CITY PHASE II,2,1286.0,2.0,69.0
ELECTRONIC CITY PHASE II,2,1140.0,2.0,32.92
ELECTRONIC CITY PHASE II,2,1116.0,2.0,40.0
ELECTRONIC CITY PHASE II,3,1150.0,3.0,46.0
ELECTRONIC CITY PHASE II,3,1192.0,2.0,47.0
ELECTRONIC CITY PHASE II,2,1020.0,2.0,32.0
ELECTRONIC CITY PHASE II,4,1900.0,3.0,97.0
ELECTRONIC CITY PHASE II,2,1020.0,2.0,27.43
ELECTRONIC CITY PHASE II,2,1025.0,2.0,26.65
ELECTRONIC CITY PHASE II,2,1020.0,2.0,29.45
ELECTRONIC CITY PHASE II,2,1140.0,2.0,28.5
ELECTRONIC CITY PHASE II,2,1125.0,2.0,32.49
ELECTRONIC CITY PHASE II,2,1200.0,2.0,34.65
ELECTRONIC CITY PHASE II,2,1160.0,2.0,52.2
ELECTRONIC CITY PHASE II,2,1244.0,2.0,55.0
ELECTRONIC CITY PHASE II,2,1160.0,2.0,33.51
ELECTRONIC CITY PHASE II,2,972.0,2.0,40.0
ELECTRONIC CITY PHASE II,2,1160.0,2.0,33.51
ELECTRONIC CITY PHASE II,2,1090.0,2.0,31.48
ELECTRONIC CITY PHASE II,2,1140.0,2.0,32.92
ELECTRONIC CITY PHASE II,1,650.0,1.0,35.0
ELECTRONIC CITY PHASE II,2,1155.0,2.0,57.0
ELECTRONIC CITY PHASE II,3,1800.0,3.0,92.0
ELECTRONIC CITY PHASE II,2,1300.0,2.0,28.0
ELECTRONIC CITY PHASE II,3,1940.0,4.0,116.0
ELECTRONIC CITY PHASE II,2,1025.0,2.0,29.6
ELECTRONIC CITY PHASE II,2,829.0,2.0,22.8
ELECTRONIC CITY PHASE II,4,2188.0,4.0,105.0
ELECTRONIC CITY PHASE II,2,1252.0,2.0,67.0
ELECTRONIC CITY PHASE II,2,1125.0,2.0,32.63
ELECTRONIC CITY PHASE II,2,1140.0,2.0,34.0
ELECTRONIC CITY PHASE II,3,1252.0,2.0,65.0
ELECTRONIC CITY PHASE II,2,1135.0,2.0,46.0
ELECTRONIC CITY PHASE II,3,1305.0,3.0,65.0
ELECTRONIC CITY PHASE II,2,1165.0,2.0,33.64
ELECTRONIC CITY PHASE II,3,1336.0,2.0,50.35
ELECTRONIC CITY PHASE II,1,575.0,1.0,16.75
ELECTRONIC CITY PHASE II,3,925.0,2.0,49.82
ELECTRONIC CITY PHASE II,2,1065.0,2.0,30.76
ELECTRONIC CITY PHASE II,2,1065.0,2.0,30.75
ELECTRONIC CITY PHASE II,2,1140.0,2.0,33.06
ELECTRONIC CITY PHASE II,2,911.0,2.0,26.5
ELECTRONIC CITY PHASE II,2,1200.0,2.0,34.65
ELECTRONIC CITY PHASE II,2,1031.0,2.0,54.48
ELECTRONICS CITY PHASE 1,3,1475.0,3.0,78.29
ELECTRONICS CITY PHASE 1,3,1490.0,3.0,78.8
ELECTRONICS CITY PHASE 1,2,1113.27,2.0,53.0
ELECTRONICS CITY PHASE 1,3,1490.0,3.0,84.0
ELECTRONICS CITY PHASE 1,2,1015.0,2.0,56.0
ELECTRONICS CITY PHASE 1,3,1515.0,2.0,80.91
ELECTRONICS CITY PHASE 1,2,995.0,2.0,46.0
ELECTRONICS CITY PHASE 1,3,1555.0,2.0,82.0
ELECTRONICS CITY PHASE 1,2,1340.0,2.0,75.0
ELECTRONICS CITY PHASE 1,3,1124.0,2.0,55.0
ELECTRONICS CITY PHASE 1,2,1175.0,2.0,57.0
ELECTRONICS CITY PHASE 1,1,755.0,1.0,42.41
ELECTRONICS CITY PHASE 1,1,580.0,1.0,27.0
ELECTRONICS CITY PHASE 1,2,940.0,2.0,49.0
ELECTRONICS CITY PHASE 1,2,1335.0,2.0,67.0
ELECTRONICS CITY PHASE 1,2,1113.12,2.0,55.0
ELECTRONICS CITY PHASE 1,3,1350.0,3.0,71.0
ELECTRONICS CITY PHASE 1,2,995.0,2.0,49.8
ELECTRONICS CITY PHASE 1,1,635.0,1.0,26.0
ELECTRONICS CITY PHASE 1,2,1190.0,2.0,68.0
ELECTRONICS CITY PHASE 1,3,1450.0,3.0,72.54
ELECTRONICS CITY PHASE 1,1,360.0,1.0,16.9
ELECTRONICS CITY PHASE 1,1,638.0,1.0,32.0
ELECTRONICS CITY PHASE 1,2,1175.0,2.0,64.98
ELECTRONICS CITY PHASE 1,1,585.0,1.0,21.0
ELECTRONICS CITY PHASE 1,2,1200.0,2.0,59.76
ELECTRONICS CITY PHASE 1,2,1145.0,2.0,54.0
ELECTRONICS CITY PHASE 1,2,1125.0,2.0,65.0
ELECTRONICS CITY PHASE 1,3,1550.0,2.0,82.0
ELECTRONICS CITY PHASE 1,2,865.0,2.0,40.0
ELECTRONICS CITY PHASE 1,3,1800.0,3.0,93.0
ELECTRONICS CITY PHASE 1,2,1314.0,2.0,60.0
ELECTRONICS CITY PHASE 1,2,1170.0,2.0,62.0
ELECTRONICS CITY PHASE 1,3,1450.0,3.0,79.0
ELECTRONICS CITY PHASE 1,2,940.0,2.0,48.0
ELECTRONICS CITY PHASE 1,2,940.0,2.0,44.0
ELECTRONICS CITY PHASE 1,2,1300.0,2.0,67.0
ELECTRONICS CITY PHASE 1,2,1028.0,2.0,51.0
ELECTRONICS CITY PHASE 1,2,1205.0,2.0,60.0
ELECTRONICS CITY PHASE 1,2,1305.0,2.0,67.0
ELECTRONICS CITY PHASE 1,1,755.0,1.0,30.12
ELECTRONICS CITY PHASE 1,2,1175.0,2.0,60.0
EPIP ZONE,2,1285.0,2.0,82.0
EPIP ZONE,3,2330.0,3.0,162.0
EPIP ZONE,2,1330.0,2.0,92.5
EPIP ZONE,2,1330.0,2.0,86.98
EPIP ZONE,2,1330.0,2.0,93.36
EPIP ZONE,3,1500.0,3.0,102.0
EPIP ZONE,2,1280.0,2.0,69.0
EPIP ZONE,2,1125.0,2.0,65.0
EPIP ZONE,3,1734.0,3.0,125.0
EPIP ZONE,2,1343.0,2.0,86.0
EPIP ZONE,3,2350.0,4.0,163.0
EPIP ZONE,3,1860.0,3.0,130.0
EPIP ZONE,3,2210.0,3.0,165.0
EPIP ZONE,3,2710.0,3.0,177.0
FRAZER TOWN,3,1700.0,3.0,180.0
FRAZER TOWN,3,1305.0,3.0,95.45
FRAZER TOWN,3,1870.0,3.0,185.0
FRAZER TOWN,3,1750.0,3.0,150.0
FRAZER TOWN,3,2000.0,3.0,200.0
FRAZER TOWN,3,3500.0,4.0,330.0
FRAZER TOWN,3,2350.0,4.0,285.0
FRAZER TOWN,2,1550.0,2.0,140.0
FRAZER TOWN,3,1900.0,4.0,145.0
FRAZER TOWN,3,2560.0,3.0,265.0
FRAZER TOWN,3,2400.0,3.0,260.0
FRAZER TOWN,3,2560.0,3.0,288.0
FRAZER TOWN,4,3436.0,5.0,341.0
FRAZER TOWN,2,1315.0,2.0,140.0
FRAZER TOWN,3,1706.0,3.0,154.0
FRAZER TOWN,3,2079.0,3.0,220.0
FRAZER TOWN,4,3435.0,2.0,341.0
FRAZER TOWN,4,3436.0,5.0,345.0
FRAZER TOWN,3,3100.0,3.0,400.0
FRAZER TOWN,3,5400.0,3.0,400.0
FRAZER TOWN,2,1180.0,2.0,105.0
FRAZER TOWN,4,2900.0,4.0,325.0
FRAZER TOWN,3,1870.0,3.0,180.0
FRAZER TOWN,1,896.0,1.0,100.0
FRAZER TOWN,2,1420.0,2.0,120.0
GANGA NAGAR,1,600.0,1.0,38.0
GANGA NAGAR,2,845.0,2.0,55.0
GANGA NAGAR,2,1112.0,2.0,68.0
GANGA NAGAR,2,998.0,2.0,65.0
GANGA NAGAR,2,1250.0,2.0,65.0
GARUDACHAR PALYA,3,1325.0,2.0,60.8
GARUDACHAR PALYA,2,1060.0,2.0,48.7
GARUDACHAR PALYA,2,1150.0,2.0,52.75
GARUDACHAR PALYA,3,1295.0,2.0,59.5
GARUDACHAR PALYA,3,1320.0,2.0,60.6
GARUDACHAR PALYA,3,1295.0,2.0,59.5
GARUDACHAR PALYA,2,1150.0,2.0,52.8
GARUDACHAR PALYA,2,1150.0,2.0,52.8
GARUDACHAR PALYA,2,1060.0,2.0,48.5
GARUDACHAR PALYA,2,1150.0,2.0,52.5
GARUDACHAR PALYA,2,1060.0,2.0,48.66
GARUDACHAR PALYA,2,1150.0,2.0,52.0
GARUDACHAR PALYA,2,1154.0,2.0,51.8
GIRI NAGAR,4,2400.0,4.0,400.0
GIRI NAGAR,3,1800.0,3.0,252.0
GIRI NAGAR,3,1350.0,3.0,240.0
GIRI NAGAR,4,2400.0,4.0,400.0
GIRI NAGAR,6,3000.0,4.0,375.0
GIRI NAGAR,6,2400.0,6.0,400.0
GIRI NAGAR,4,4000.0,3.0,750.0
GM PALAYA,3,1820.0,2.0,86.0
GM PALAYA,2,1225.0,2.0,47.0
GM PALAYA,2,1140.0,2.0,48.95
GM PALAYA,3,1315.0,2.0,65.0
GM PALAYA,3,1315.0,3.0,65.0
GM PALAYA,3,1315.0,3.0,64.0
GM PALAYA,3,1735.0,3.0,70.0
GM PALAYA,3,1643.0,2.0,70.0
GOLLARAPALYA HOSAHALLI,2,861.0,2.0,34.5
GOLLARAPALYA HOSAHALLI,3,1408.0,3.0,62.0
GOLLARAPALYA HOSAHALLI,3,1318.0,3.0,54.0
GOLLARAPALYA HOSAHALLI,2,861.0,2.0,36.5
GOLLARAPALYA HOSAHALLI,3,1320.0,3.0,60.0
GOLLARAPALYA HOSAHALLI,3,1345.0,3.0,60.0
GOLLARAPALYA HOSAHALLI,4,1905.0,3.0,86.0
GOLLARAPALYA HOSAHALLI,3,1318.0,3.0,56.0
GOLLARAPALYA HOSAHALLI,2,1129.0,2.0,50.0
GOTTIGERE,2,1100.0,2.0,40.0
GOTTIGERE,2,967.0,2.0,45.0
GOTTIGERE,3,1618.0,3.0,82.5
GOTTIGERE,2,1222.0,2.0,63.0
GOTTIGERE,3,1300.0,3.0,65.0
GOTTIGERE,2,950.0,2.0,38.0
GOTTIGERE,2,1153.0,2.0,48.5
GOTTIGERE,1,812.0,1.0,26.0
GOTTIGERE,3,1460.0,2.0,65.0
GOTTIGERE,3,1500.0,3.0,70.0
GOTTIGERE,3,1621.0,3.0,72.0
GOTTIGERE,1,812.0,1.0,26.0
GOTTIGERE,2,990.0,2.0,40.0
GOTTIGERE,2,1235.0,2.0,63.0
GOTTIGERE,3,1385.0,3.0,64.0
GOTTIGERE,2,1000.0,2.0,35.0
GOTTIGERE,2,1010.0,2.0,35.0
GOTTIGERE,3,1435.0,2.0,62.0
GOTTIGERE,2,945.0,2.0,45.0
GOTTIGERE,4,2500.0,3.0,120.0
GOTTIGERE,3,1230.0,2.0,52.0
GOTTIGERE,2,1120.0,2.0,50.0
GOTTIGERE,3,1500.0,3.0,63.0
GOTTIGERE,2,1200.0,2.0,40.0
GOTTIGERE,2,1280.0,2.0,61.0
GOTTIGERE,2,1205.0,2.0,56.58
GOTTIGERE,2,1170.0,2.0,40.0
GOTTIGERE,4,3000.0,3.0,132.0
GOTTIGERE,3,1613.0,3.0,72.0
GOTTIGERE,2,1110.0,2.0,36.25
GOTTIGERE,2,1245.0,2.0,59.0
GOTTIGERE,2,1200.0,2.0,50.0
GREEN GLEN LAYOUT,3,1670.0,3.0,120.0
GREEN GLEN LAYOUT,4,3250.0,4.0,230.0
GREEN GLEN LAYOUT,3,1776.42,3.0,105.0
GREEN GLEN LAYOUT,4,3250.0,4.0,230.0
GREEN GLEN LAYOUT,2,940.0,2.0,56.8
GREEN GLEN LAYOUT,2,1075.0,2.0,60.0
GREEN GLEN LAYOUT,3,1715.0,3.0,115.0
GREEN GLEN LAYOUT,3,1751.0,2.0,115.0
GREEN GLEN LAYOUT,3,1750.0,3.0,130.0
GREEN GLEN LAYOUT,3,1530.0,3.0,105.0
GREEN GLEN LAYOUT,3,1752.0,3.0,105.0
GREEN GLEN LAYOUT,3,1680.0,4.0,95.0
GREEN GLEN LAYOUT,3,1728.0,3.0,125.0
GREEN GLEN LAYOUT,3,1645.0,3.0,110.0
GREEN GLEN LAYOUT,3,1517.0,3.0,100.0
GREEN GLEN LAYOUT,4,3150.0,4.0,218.0
GREEN GLEN LAYOUT,3,1750.0,3.0,120.0
GREEN GLEN LAYOUT,3,1751.0,3.0,115.0
GREEN GLEN LAYOUT,3,1750.0,3.0,105.0
GREEN GLEN LAYOUT,3,1885.0,3.0,135.0
